"lethalityCelltype1"	"lethalityCelltype2"	"effectSize"	"nexons"	"p0"	"lfdr"	"postProb"	"BayesFactor"
"TMCC1"	-5.49362495611161	-1.53128280507002	3.9623421510416	6	1.71658979913265e-18	8.96732984254512e-18	8.96732984254512e-18	582550356820993152
"CUTA"	-6.46998113573535	-2.89552655554887	3.57445458018649	6	9.36708945694734e-18	4.89329371918182e-17	4.89329371918182e-17	106756747076683920
"STK16"	-3.2127535023834	-1.5410494475377	1.6717040548457	5	1.62017708782309e-13	8.46367743602745e-13	8.46367743602745e-13	6172164805413.12
"SPAG17"	-2.67601318014399	-1.48628009823578	1.18973308190821	5	1.21018299068302e-11	6.32190057998768e-11	6.32190057998768e-11	82632131478.1911
"WISP1"	0.424693140093278	-0.168540343781546	-0.593233483874823	5	1.98384654644699e-10	1.03634580218674e-09	1.03634580218674e-09	5040712456.27633
"MYOT"	15.3741701528945	-3.36185485426804	-18.7360250071625	4	1.62163852523192e-08	8.47131128963782e-08	8.47131128963782e-08	61666022.8666312
"ZNF503"	-39.384110862116	-39.174035204184	0.210075657931998	6	1.12744459101012e-07	5.88967889544163e-07	5.88967889544163e-07	8869614.48242527
"FMNL2"	0.216144040710609	0.259812459665243	0.043668418954634	6	3.73662098489557e-08	1.02636961132622e-06	1.95198104966664e-07	26762145.9783066
"DCHS1"	1.76953744380514	0.531280471067364	-1.23825697273777	5	2.26392835213926e-06	1.18264702204493e-05	1.18264702204493e-05	441709.091688665
"DDC"	-19.138870907278	-10.9754026808768	8.16346822640122	6	5.36415073524461e-06	2.80212658443547e-05	2.80212658443547e-05	186421.80005847
"RPL3L"	-3.42086694882455	-2.38486662229146	1.03600032653309	6	1.78651282190888e-05	9.3319007496252e-05	9.33189801019461e-05	55973.9690982628
"LYG1"	0.275753981074932	-0.420685595403553	-0.696439576478485	5	1.84831560459545e-05	0.000130965380333478	9.65470131422767e-05	54102.3142561644
"SNX13"	-2.8792884140061	-1.10729031818128	1.77199809582482	4	1.21830538641464e-06	0.000158149023198281	6.36429858471835e-06	820811.261975554
"DENND2D"	2.56733579903372	1.48922041993705	-1.07811537909666	6	5.47933145840961e-05	0.000286169725769375	0.000286169725769375	18249.4016701748
"COL1A2"	0.588356725138971	0.608915269438233	0.0205585442992621	6	0.00030144800745143	0.00189373025270136	0.00157273808086836	3316.3216451302
"HAVCR2"	-0.912226392115999	-0.101587863409756	0.810638528706244	6	0.000384402423162332	0.00200496532678524	0.00200483274954501	2600.4404169812
"MRPL21"	0.630475742808962	0.555623481712857	-0.0748522610961052	6	0.000451321607256603	0.0023531825297113	0.0023531825297113	2214.71487808569
"ZNF423"	-2.07380209076165	-1.057342938239	1.01645915252265	6	0.00034722715220182	0.0037109835523058	0.00181123082140068	2878.9591093578
"CCHCR1"	-24.0343304920214	-24.6538226635942	-0.619492171572813	6	8.11174085274059e-05	0.00396562220774397	0.000423605808496944	12326.8099997751
"AIFM2"	2.90814831823784	1.75988288576852	-1.14826543246931	5	0.000775991311939093	0.00404047389810439	0.00404047389810439	1287.67422175274
"MPPED1"	-2.5605271633758	-1.09921070299948	1.46131646037632	6	0.0008275261666325	0.00430787372030473	0.00430787372030473	1207.4210026486
"ABCB10"	-1.87523036309975	-0.864791452986161	1.01043891011359	5	0.000247343271230223	0.00457413859220537	0.00129075323274037	4041.96423762107
"GOLPH3"	-1.46118193532709	-0.4292881889228	1.03189374640429	6	0.00032733424711713	0.00460224277678181	0.0017076073167925	3053.98128841426
"FAM195B"	-1.54819539732057	-0.610863812798984	0.937331584521583	6	0.000932348730870082	0.00485141063250491	0.00485141063250491	1071.560048499
"DBNDD1"	-5.19865153972431	-1.70789744863527	3.49075409108904	6	0.00109664234102017	0.00570235910012561	0.00570235910012561	910.874330029732
"DECR1"	-2.13471167081178	-1.62811835057548	0.506593320236293	6	0.00129675022902782	0.00673738828957007	0.00673721876665278	770.158529695966
