"lethalityCelltype1"	"lethalityCelltype2"	"effectSize"	"nexons"	"p0"	"lfdr"	"postProb"	"BayesFactor"
"AP3B1"	-0.543000516572062	-69.7454807389593	-69.2024802223873	5	4.46104017421999e-20	2.58501282694586e-19	2.58501282694586e-19	22416296669528432640
"CUTA"	-1.30250159657568	-25.3422943442567	-24.039792747681	6	1.79741329484134e-14	1.04153655672915e-13	1.04153655672915e-13	55635507029464.4
"SLC30A8"	-0.545009821975503	14.921983758714	15.4669935806895	6	1.31570071586085e-11	7.6240138933568e-11	7.6240138933568e-11	76005126996.7236
"PYCARD"	-1.69172720097398	15.5831941778042	17.2749213787781	6	2.02671949708568e-11	1.17441127886608e-10	1.17441127886608e-10	49340819063.4018
"ARID5B"	-0.168991303566701	-11.7300960718592	-11.5611047682925	6	5.60525160713979e-11	3.24804232487206e-10	3.24804232487206e-10	17840412349.5577
"CSF2RB"	-2.42583909389805	20.4983740179934	22.9242131118915	6	4.13803617754289e-10	2.39784358766993e-09	2.39784358766993e-09	2416605260.75918
"AAR2"	-1.87398482655325	19.9839010141104	21.8578858406636	6	4.65668183870436e-10	2.69838015060802e-09	2.69838015060802e-09	2147451842.68927
"MRC2"	-6.37368586892998	26.4216275964495	32.7953134653795	6	4.32429706102871e-08	2.50577457634703e-07	2.50577457634703e-07	23125144.7956524
"KRTAP16-1"	-1.14958183225147	-44.6547582195421	-43.5051763872906	6	3.29938892385776e-07	1.91187455478856e-06	1.91187455478856e-06	3030863.26934708
"CACFD1"	0.899155593905309	-6.40563793394473	-7.30479352785004	6	1.94957448565459e-06	1.19251512317426e-05	1.1296979510858e-05	512931.441083029
"RASGEF1C"	-59.4602461047247	-49.1871424221155	10.2731036826092	6	5.19527312292718e-06	3.0104094470129e-05	3.01039950677487e-05	192481.661900279
"TMEM176A"	-8.73860536362563	-33.5347106741208	-24.7961053104952	6	6.88814371470496e-06	3.99130048559366e-05	3.99130048559366e-05	145175.994182798
"SOSTDC1"	-2.70445215316069	-18.6708241083446	-15.9663719551839	3	3.26998014720024e-05	0.000208305231624075	0.000189453921455664	30580.2254198608
"ANKRD34C"	-0.862199034917823	-9.52761908413541	-8.66542004921759	6	3.51409043460594e-11	0.000459028684222376	2.03628940610513e-10	28456865825.566
"MRPL21"	0.409883000229783	7.13605572353916	6.72617272330938	6	7.85932644311537e-05	0.000470272826932957	0.000455248237550858	12722.7366616319
"DDC"	-9.94869781844572	17.4347054348394	27.3834032532852	6	0.000122563201476749	0.000709792699312404	0.000709792699312404	8158.0558010163
"DECR1"	-1.24940640045344	-7.31236053557793	-6.06295413512449	6	9.65927035110161e-05	0.000918340841132072	0.000559460981094173	10351.7488480116
"WISP1"	-0.690309720902546	-11.0313161798672	-10.3410064589646	5	1.22895091220061e-10	0.000987011683980156	7.12132988223749e-10	8137021503.05144
