""	"lethalityCelltype1"	"lethalityCelltype2"	"effectSize"	"nexons"	"p0"	"lfdr"	"postProb"	"BayesFactor"
"C18orf21"	1.76047479860585	1.0098923120865	-0.750582486519346	6	0	0	0	Inf
"CCDC18"	-0.188447523081618	-0.233847126332807	-0.0453996032511885	6	0	0	0	Inf
"CKLF"	1.30388213394082	0.836415833891104	-0.467466300049719	5	0	0	0	Inf
"CPXM2"	0.607553346242305	0.68955214727005	0.0819988010277444	6	0	0	0	Inf
"CRTAC1"	0.0775889014965263	0.727521691943693	0.649932790447167	6	0	0	0	Inf
"FBXO27"	0.968570419488491	1.53226245704312	0.563692037554631	6	0	0	0	Inf
"HYAL1"	0.560789020041142	1.05223415109123	0.491445131050088	6	0	0	0	Inf
"KANK1"	0.694577095450475	0.886179297491285	0.19160220204081	6	0	0	0	Inf
"KLHL14"	-1.38910776323035	-0.602082131478343	0.787025631752011	6	0	0	0	Inf
"NOSIP"	1.24520571026092	0.585822865214621	-0.659382845046296	6	0	0	0	Inf
"PDE6A"	-1.47042134407794	-0.836022631427284	0.634398712650655	6	0	0	0	Inf
"PHYH"	1.18104109678592	1.18377491989886	0.00273382311293774	6	0	0	0	Inf
"PPARA"	0.13514051169077	-0.0483650818434591	-0.183505593534229	5	0	0	0	Inf
"RNF213"	-1.83220074284267	-1.11320237946056	0.718998363382109	6	0	0	0	Inf
"RUNDC1"	0.400429056315284	-0.116079441235123	-0.516508497550407	6	0	0	0	Inf
"SATB2"	-0.389423132076673	0.029627502794649	0.419050634871322	6	0	0	0	Inf
"SNX32"	-0.256923517184694	0.17658922986764	0.433512747052335	6	0	0	0	Inf
"TDRD3"	0.706787302463145	1.10083520593363	0.394047903470489	6	0	0	0	Inf
"VASN"	0.233761825403765	-0.188241326587301	-0.422003151991067	6	0	0	0	Inf
"MPPED1"	0.222355100003315	11.7213887779414	11.4990336779381	6	1.09260845574697e-22	5.88841127823348e-22	5.88841127823348e-22	9.15240949070217e+21
"MAP7D3"	-3.4259735621065	-54.0044815513439	-50.5785079892374	6	7.79348568418988e-22	4.20015502883519e-21	4.20015502883519e-21	1.28312290613253e+21
"ZNF174"	-0.784822820212516	10.3653149444587	11.1501377646712	6	3.85977380708501e-21	2.08015373645735e-20	2.08015373645735e-20	2.59082539542705e+20
"ABCB6"	-0.665478633247466	4.58604287960522	5.25152151285268	6	5.64218965063012e-20	3.04075380324502e-19	3.04075380324502e-19	17723615509597767680
"TCF4"	-6.74793271223662	-76.2888180744357	-69.5408853621991	5	1.73386831287669e-19	9.34436272647627e-19	9.34436272647627e-19	5767450691459268608
"C1QA"	-0.661553860279847	-10.1582962153623	-9.49674235508241	6	9.24598172834641e-18	4.98295091907508e-17	4.98295091907508e-17	108155091517668800
"CSF2RB"	-0.235808384595455	17.7998884335792	18.0356968181747	6	1.20963477886985e-17	6.51910301167414e-17	6.51910301167414e-17	82669580725373056
"PLCG1"	-56.2323978398731	-46.4027776004241	9.82962023944892	6	1.68982238730574e-17	9.10698535352255e-17	9.10698535352255e-17	59177817000898208
"PYCARD"	-2.4377313187759	20.0867638927295	22.5244952115054	6	4.56114969772063e-16	2.45814730615532e-15	2.45814730615532e-15	2192429686093694
"SLC26A11"	0.790664721242362	-33.3625827890614	-34.1532475103038	6	2.4866470945647e-15	1.3401324801766e-14	1.3401324801766e-14	402147937351380
"FMNL2"	0.890839466999239	13.7628264077331	12.8719869407338	6	1.74186500723708e-14	9.38745943235643e-14	9.38745943235643e-14	57409730136675
"AP3B1"	-0.588669783612093	-52.0795730425273	-51.4909032589153	5	4.70523090921693e-14	2.53579721141535e-13	2.53579721141535e-13	21252942082844.1
"SIAE"	-0.763100448066691	8.76121310447832	9.52431355254501	6	1.59363929798144e-13	8.58862437527816e-13	8.58862437527816e-13	6274945662211.48
"RNF150"	-1.65774200050823	23.1592364135152	24.8169784140234	6	1.85975614658944e-13	1.0022811932977e-12	1.0022811932977e-12	5377049038572.56
"TUBA8"	0.194682862069894	-13.6943292130372	-13.889012075107	4	2.16116350411703e-13	1.16471911642283e-12	1.16471911642283e-12	4627137179092.54
"TMCC1"	1.24247028566985	-22.3326439707967	-23.5751142564665	6	1.96229471386252e-12	1.057542458458e-11	1.057542458458e-11	509607447308.294
"HS2ST1"	0.890337688325043	1.41874541660724	0.528407728282194	6	0	2.46507259049622e-11	0	Inf
"ACPL2"	-1.13252858134166	-5.2152867778139	-4.08275819647224	6	5.68561234920345e-12	3.06415566379535e-11	3.06415566379535e-11	175882550299.866
"TRIM67"	-64.5506751923274	-53.5652061840209	10.9854690083064	6	1.31028369256021e-11	7.06153172431607e-11	7.06153172431607e-11	76319350203.6922
"LRRC71"	-64.9326956328922	-54.1185021899269	10.8141934429653	6	1.44183546668333e-11	7.77050569047035e-11	7.77050569047035e-11	69356041177.5618
"MSL1"	1.20749922350554	-2.10958256031648	-3.31708178382201	6	1.50856085862641e-11	8.13010985456469e-11	8.13010985456469e-11	66288343242.2769
"SNX13"	0.0307149131221408	-7.8660598804076	-7.89677479352974	4	1.75537089659315e-11	9.46024692543588e-11	9.46024692543588e-11	56968017524.0037
"IL15RA"	0.175453531528754	6.77316719957442	6.59771366804567	6	7.19587440663488e-11	3.87808347780259e-10	3.87808347780259e-10	13896851771.1482
"POU3F2"	-39.2231990952891	-25.431222592194	13.7919765030951	3	1.38058134373056e-10	7.44038791504478e-10	7.44038791504478e-10	7243325461.43044
"PLP1"	0.525077532700801	-8.52418306810349	-9.04926060080429	6	1.95734348603116e-10	1.05487408485604e-09	1.05487408485604e-09	5108965324.38429
"ISX"	0.810956619206123	9.62713810262947	8.81618148342335	6	3.7937802965698e-10	2.04458775060362e-09	2.04458775060362e-09	2635893281.76116
"SLC30A8"	-0.16234807539451	13.1677774992125	13.330125574607	6	3.23803235133242e-09	1.74507764841002e-08	1.74507764841002e-08	308829526.162849
"CDC14B"	-0.938094272975419	-0.00662168753798209	0.931472585437437	6	5.41611400412213e-09	2.91891444370077e-08	2.91891444370077e-08	184634221.84666
"GLT8D2"	0.929687275870259	4.09271541270254	3.16302813683228	6	6.35534225746315e-09	3.42509412087261e-08	3.42509412087261e-08	157347937.079289
"TENM3"	0.434134477978168	5.20378802632897	4.7696535483508	6	8.62535975532351e-09	4.64847800436233e-08	4.64847800436233e-08	115937192.15682
"PSMC4"	-0.158753072657311	14.3015836168498	14.4603366895071	6	9.16344817869402e-09	4.93847078968249e-08	4.93847078968249e-08	109129224.210779
"CA12"	-1.2517515436239	4.36538586218649	5.61713740581038	6	1.08409672355427e-08	5.8425385931582e-08	5.8425385931582e-08	92242690.8440866
"DTL"	-0.332246278999403	19.0627794045896	19.395025683589	6	1.21343899598539e-08	6.53960478821037e-08	6.53960478821037e-08	82410404.7400869
"ZNF503"	-82.9157120187827	-68.2039990777328	14.7117129410499	6	1.64513368023086e-08	8.8661431882614e-08	8.8661431882614e-08	60785332.8617242
"CLDN7"	-46.6217378795735	-37.01383457518	9.60790330439353	5	1.81085818894003e-08	9.7592846544457e-08	9.7592846544457e-08	55222434.7549136
"MTMR8"	-2.62639938190017	-11.6790764567633	-9.05267707486308	6	1.84280889032047e-08	9.93147702509272e-08	9.93147702509272e-08	54264985.7413054
"PNPLA4"	0.820155905605101	-5.89215592019188	-6.71231182579698	5	1.87085698780074e-08	1.00826370364815e-07	1.00826370364815e-07	53451438.9828892
"BEST1"	-3.6459254014215	3.84093706536893	7.48686246679043	6	2.30234072468811e-08	1.24080384407045e-07	1.24080384407045e-07	43434056.7516157
"FAM71E2"	-0.606340698871926	19.2261053129048	19.8324460117768	5	3.05630194233198e-08	1.64713720802504e-07	1.64713720802504e-07	32719279.3220546
"CUEDC1"	-0.709510597829862	-0.387185332269344	0.322325265560519	6	3.86391261355994e-08	2.08238391652072e-07	2.08238391652072e-07	25880501.4857607
"MRI1"	0.81516492127568	5.46710721149845	4.65194229022277	6	3.97486115758154e-08	2.14217756260688e-07	2.14217756260688e-07	25158110.4498208
"ZDHHC17"	-5.61979474374931	-66.1714863843207	-60.5516916405714	6	4.10751979808104e-08	2.21367145903817e-07	2.21367145903817e-07	24345590.7234332
"USP4"	-0.414471336139287	2.68039748632985	3.09486882246914	6	5.2665212311157e-08	2.83829359753787e-07	2.83829359753787e-07	18987865.1096397
"MGME1"	0.19697650689586	22.634712500407	22.4377359935111	3	7.122671659934e-08	3.83863101191942e-07	3.83863101191942e-07	14039674.6686839
"ECT2L"	-0.130295839936856	-5.65086074349019	-5.52056490355333	6	8.56233153321058e-08	4.61450855100593e-07	4.61450855100593e-07	11679060.9017883
"CHIT1"	1.17936972582195	1.60093623306965	0.421566507247702	6	9.96203622935662e-08	5.36885290685394e-07	5.36885290685394e-07	10038107.4446687
"NFATC2IP"	-3.42180290752256	-7.97210572744434	-4.55030281992178	6	1.14410408659994e-07	6.16593436412433e-07	6.16593436412433e-07	8740462.49202203
"SH3PXD2B"	0.859192776844967	3.61237953010329	2.75318675325832	6	1.71062008866967e-07	9.21906379799743e-07	9.21906379799743e-07	5845832.37132261
"ADI1"	-1.22967999044511	-1.29848750736774	-0.0688075169226248	6	2.09420797670386e-07	1.12863363529713e-06	1.12863363529713e-06	4775073.92629233
"GRIN3A"	1.3373659878002	-1.92739119663597	-3.26475718443617	6	2.12248537315569e-07	1.14387318713561e-06	1.14387318713561e-06	4711456.67432644
"CLEC19A"	-1.82862843130053	-4.74663128740483	-2.9180028561043	6	2.22454918827533e-07	1.19887848845505e-06	1.19887848845505e-06	4495291.82279116
"KLF15"	-0.240252069879311	2.94674579982315	3.18699786970246	6	2.60163361927068e-07	1.40210074076081e-06	1.40210074076081e-06	3843737.76703028
"CD1B"	-0.794334540957593	-4.1125780133569	-3.31824347239931	6	2.70425266850096e-07	1.45740525139244e-06	1.45740525139244e-06	3697878.31300934
"PARK7"	-24.7863543014074	-16.7134624595481	8.07289184185931	3	2.74050933073616e-07	1.47694506251781e-06	1.47694506251781e-06	3648955.74240007
